obs,LREERS,RIRR,LRGDPPCR,OPENY,FBYA,NFAOFPY,LPR2COMM5,LPRCOMM5,LPR2COMM3,LPRCOMM3,LPR2GOLD,LPRGOLD,SDUMC1,SDUMC2,SDUMC3,DUMRER1,DUMRER2,DUMFBYA,DUMNFAOFPY
1973Q1,4.518704115,-2.627979555,0.572135653,47.55032073,0,6.143204075,-0.172969605,-0.214456843,-0.172969605,-0.214456843,1.109011844,1.067524607,0.75,-0.25,-0.25,0,0,0,0
1973Q2,4.536034447,-2.972496118,0.561799465,47.46292373,-3.241525424,6.433079762,0.090654564,0.097704216,0.090654564,0.097704216,1.396287924,1.403337576,-0.25,0.75,-0.25,0,0,0,0
1973Q3,4.536248741,-2.511227275,0.574447313,47.71904063,2.232011748,5.287642972,-0.096739689,-0.033104863,-0.096739689,-0.033104863,1.185885088,1.249519914,-0.25,-0.25,0.75,0,0,0,0
1973Q4,4.566810435,-2.221576649,0.572898174,46.96035242,-3.208903316,3.737841986,-0.091849101,-0.040132985,-0.091849101,-0.040132985,1.188296877,1.240012993,-0.25,-0.25,-0.25,0,0,0,0
1974Q1,4.569853841,0.128005524,0.61770615,49.26058803,-3.167658383,3.816352923,0.286600758,0.330479675,0.286600758,0.330479675,1.591486295,1.635365213,0.75,-0.25,-0.25,0,0,0,0
1974Q2,4.537676191,-0.595726734,0.62339757,57.32780292,-2.849002849,3.068332615,0.160952254,0.275812915,0.160952254,0.275812915,1.454148943,1.569009604,-0.25,0.75,-0.25,0,0,0,0
1974Q3,4.581457926,-2.965548269,0.621432897,58.37501525,3.546012769,2.575630063,0.138310475,0.262224971,0.138310475,0.262224971,1.458239061,1.582153557,-0.25,-0.25,0.75,0,0,0,0
1974Q4,4.560277417,-2.977683677,0.603376904,57.83679008,-7.210699748,2.658262553,0.163758028,0.304565938,0.163758028,0.304565938,1.503800931,1.644608841,-0.25,-0.25,-0.25,0,0,0,0
1975Q1,4.563236463,-4.319207943,0.623313804,57.40545029,-6.144787499,2.61678238,0.135149025,0.318764645,0.135149025,0.318764645,1.468390965,1.652006585,0.75,-0.25,-0.25,0,0,0,0
1975Q2,4.584423113,-3.19760673,0.634504461,57.06323203,-7.622490867,1.724188001,0.057813947,0.227944836,0.057813947,0.227944836,1.383574141,1.55370503,-0.25,0.75,-0.25,0,0,0,0
1975Q3,4.61515352,-1.126457353,0.620409308,55.0471833,-4.089219331,1.466109471,0.010169473,0.114235466,0.010169473,0.114235466,1.326709718,1.430775711,-0.25,-0.25,0.75,0,0,0,0
1975Q4,4.490095978,-1.166379447,0.594838221,58.97272631,-6.806041954,1.01453907,-0.053538832,0.033313915,-0.053538832,0.033313915,1.259095413,1.34594816,-0.25,-0.25,-0.25,0,0,0,0
1976Q1,4.505239347,-0.510638,0.60692807,57.63260026,-0.381289576,0.752413038,-0.099734694,-0.016674573,-0.095555476,-0.012495356,1.194883024,1.277943144,0.75,-0.25,-0.25,0,0,0,0
1976Q2,4.550573195,-3.032383672,0.572702826,56.71490641,-13.36774362,-0.736901878,-0.117397299,-0.044138398,-0.121822263,-0.048563362,1.155573527,1.228832428,-0.25,0.75,-0.25,0,0,0,0
1976Q3,4.574367277,-3.045329005,0.582872953,54.97010939,-2.620198423,-1.440293424,-0.229647444,-0.144113312,-0.236159882,-0.150625751,1.030968488,1.11650262,-0.25,-0.25,0.75,0,0,0,0
1976Q4,4.592490133,-1.6762581,0.537100761,55.12828536,-9.436795995,-1.794754004,-0.134026665,-0.029073285,-0.133341038,-0.028387659,1.157961157,1.262914536,-0.25,-0.25,-0.25,0,0,0,0
1977Q1,4.602265973,-1.296749188,0.545739845,55.66151655,-0.755488126,-2.442153973,-0.071849176,0.031627886,-0.070635612,0.032841449,1.222200625,1.325677687,0.75,-0.25,-0.25,0,0,0,0
1977Q2,4.610820858,-0.467202842,0.535284824,55.56562453,-9.533303126,-1.875744244,-0.121480922,-0.018781391,-0.118812691,-0.016113159,1.173917859,1.276617391,-0.25,0.75,-0.25,0,0,0,0
1977Q3,4.613468989,0.224777228,0.516444364,54.76848554,-1.493090184,-1.697212182,-0.114404262,-0.00815631,-0.108731312,-0.002483361,1.193931653,1.300179604,-0.25,-0.25,0.75,0,0,0,0
1977Q4,4.590124228,-1.43383127,0.484513973,53.97854758,-8.252613145,-1.466596094,-0.072412536,0.059541399,-0.071371447,0.060582488,1.238603067,1.370557002,-0.25,-0.25,-0.25,0,0,0,0
1978Q1,4.560800238,-1.791399237,0.51367392,54.45105055,-1.409701111,-1.257822443,0.01974285,0.175930175,0.015690859,0.171878184,1.342184552,1.498371877,0.75,-0.25,-0.25,0,0,0,0
1978Q2,4.566290748,-1.414819582,0.51728462,59.44711349,-10.67968812,1.937987809,-0.016623787,0.138741288,-0.023492017,0.131873058,1.298930463,1.454295538,-0.25,0.75,-0.25,0,0,0,0
1978Q3,4.537569203,-4.752937445,0.484262758,56.47966202,-2.17134997,2.988645782,0.082877413,0.262927339,0.077469917,0.257519843,1.412211582,1.592261508,-0.25,-0.25,0.75,0,0,0,0
1978Q4,4.529116733,-5.614162893,0.460010069,58.93358279,-6.514595476,3.402505687,-0.02135224,0.184460242,-0.038839555,0.166972927,1.28459094,1.490403422,-0.25,-0.25,-0.25,0,0,0,0
1979Q1,4.549340301,-6.154217057,0.487230885,55.28570147,-1.040545389,4.241911036,0.142372661,0.351156274,0.125510977,0.33429459,1.453955448,1.662739061,0.75,-0.25,-0.25,0,0,0,0
1979Q2,4.59854831,-5.838940781,0.463218917,56.90622615,-6.886025946,4.932496206,0.270648435,0.457283343,0.255960286,0.442595194,1.596148655,1.782783563,-0.25,0.75,-0.25,0,0,0,0
1979Q3,4.613502046,-5.277093549,0.469342698,63.51071474,-2.231708864,6.627123875,0.372740571,0.582545313,0.365380212,0.575184954,1.723491153,1.933295895,-0.25,-0.25,0.75,0,0,0,0
1979Q4,4.634275811,-5.369782141,0.478498055,64.88302686,-7.432367382,7.630202383,0.585611758,0.790263345,0.577569405,0.782220992,1.956785913,2.1614375,-0.25,-0.25,-0.25,0,0,0,0
1980Q1,4.630805444,-4.463763379,0.488308618,63.57929883,-0.420701169,8.010548618,0.923666273,1.117026119,0.904123046,1.097482893,2.300866045,2.494225891,0.75,-0.25,-0.25,0,0,0,0
1980Q2,4.675721842,-3.875865994,0.514416959,61.5522003,-6.085762953,9.269860198,0.834404645,1.011637214,0.831442653,1.008675221,2.235060293,2.412292861,-0.25,0.75,-0.25,0,0,0,0
1980Q3,4.728832203,-2.580453137,0.530697845,62.98669219,3.569333374,10.23442574,0.874120546,1.067768708,0.873362358,1.067010521,2.283925533,2.477573696,-0.25,-0.25,0.75,0,0,0,0
1980Q4,4.801723325,-4.88320958,0.526247303,60.99455745,-5.564170391,8.53606702,0.829405347,0.983048626,0.830294844,0.983938123,2.237998185,2.391641464,-0.25,-0.25,-0.25,0,0,0,0
1981Q1,4.823126976,-6.159230251,0.523813708,57.49247424,4.168113928,7.457909012,0.610575804,0.706017734,0.615304968,0.710746898,2.000483131,2.095925061,0.75,-0.25,-0.25,0,0,0,0
1981Q2,4.812048845,-5.962227242,0.541759263,57.3518695,-7.248164135,6.172805264,0.644671961,0.668083485,0.64879099,0.672202515,2.034524716,2.05793624,-0.25,0.75,-0.25,0,0,0,0
1981Q3,4.785183525,-6.944754073,0.54486499,58.48376918,0.135426118,4.40229181,0.628813392,0.593767366,0.630996167,0.595950141,2.012500063,1.977454037,-0.25,-0.25,0.75,0,0,0,0
1981Q4,4.738038859,-4.793649871,0.549299896,60.01519836,-6.430480583,3.057305427,0.543634289,0.550785393,0.546493003,0.553644107,1.927116834,1.934267939,-0.25,-0.25,-0.25,0,0,0,0
1982Q1,4.755456265,-4.655446699,0.535293597,56.67301702,1.328424684,0.343212819,0.451936983,0.434665352,0.373554111,0.35628248,1.728573252,1.711301621,0.75,-0.25,-0.25,0,0,0,0
1982Q2,4.726679603,-6.980145242,0.517680173,52.98804286,-7.224003778,-0.936581986,0.410994283,0.359190844,0.321882766,0.270079326,1.673480486,1.621677047,-0.25,0.75,-0.25,0,0,0,0
1982Q3,4.725498129,-4.928887221,0.51765801,51.32981243,0.108942781,1.182433914,0.728616966,0.630800135,0.70628689,0.608470059,2.096882285,1.999065454,-0.25,-0.25,0.75,0,0,0,0
1982Q4,4.793418589,-6.589229443,0.488078401,51.22107748,-5.202901706,2.146444198,0.68066249,0.571824288,0.657935394,0.549097193,2.041528989,1.932690788,-0.25,-0.25,-0.25,0,0,0,0
1983Q1,4.834772832,-7.647734975,0.454154981,47.33074225,1.246398177,1.807707088,0.575033052,0.487080816,0.570008246,0.48205601,1.947509264,1.859557028,0.75,-0.25,-0.25,0,0,0,0
1983Q2,4.867765193,-5.595987448,0.442581982,45.1699319,-6.902710088,1.392188552,0.586448111,0.468955766,0.578093938,0.460601593,1.951199623,1.833707278,-0.25,0.75,-0.25,0,0,0,0
1983Q3,4.893052238,-5.143410785,0.441362312,42.94913206,-3.425927856,1.178421522,0.597709827,0.438540285,0.628840154,0.469670613,2.006718067,1.847548525,-0.25,-0.25,0.75,0,0,0,0
1983Q4,4.852759165,-3.142321598,0.444509015,45.25929594,-5.785265966,1.187545372,0.533062269,0.371670726,0.571730358,0.410338815,1.951878666,1.790487123,-0.25,-0.25,-0.25,0,0,0,0
1984Q1,4.811723545,-1.721898197,0.442878463,48.29959167,-0.871857838,-10.61444428,0.51764903,0.352116043,0.573342934,0.407809946,1.959216308,1.79368332,0.75,-0.25,-0.25,0,0,0,1
1984Q2,4.797964489,-2.575809998,0.459582346,46.25096554,-9.081546327,-11.54746036,0.498134527,0.324487554,0.544544849,0.370897876,1.927486575,1.753839601,-0.25,0.75,-0.25,0,0,0,0
1984Q3,4.665888921,-2.073823649,0.422186321,48.70354288,-5.628910196,-15.4641141,0.442992219,0.21425159,0.458356976,0.229616347,1.831763013,1.603022384,-0.25,-0.25,0.75,0,0,0,0
1984Q4,4.593131342,-2.053291381,0.411651686,52.43257261,-4.809820194,-19.68313412,0.445140908,0.189865373,0.450359515,0.19508398,1.821191829,1.565916294,-0.25,-0.25,-0.25,0,0,0,0
1985Q1,4.573679519,-3.491723981,0.395548389,51.77932422,-0.4881186,-23.54551323,0.381608882,0.082197033,0.363778717,0.064366868,1.717786417,1.418374568,0.75,-0.25,-0.25,0,0,0,0
1985Q2,4.590530209,-5.029329324,0.370754595,52.27385388,-7.598701569,-19.60060164,0.404545974,0.141297703,0.403341765,0.140093494,1.762735966,1.499487695,-0.25,0.75,-0.25,0,0,0,0
1985Q3,4.436869871,-4.924671736,0.352047081,52.35815644,0.990122131,-21.40995867,0.368481454,0.148510389,0.364707137,0.144736073,1.727854294,1.507883229,-0.25,-0.25,0.75,0,0,0,0
1985Q4,4.265071381,-4.690282209,0.35156393,57.19048743,-3.953735395,-26.194338,0.312919667,0.14805763,0.306367099,0.141505062,1.671599592,1.506737555,-0.25,-0.25,-0.25,-1,0,0,0
1986Q1,4.481117537,-7.048290135,0.332069468,51.4273956,-1.940738174,-23.88230122,0.304778018,0.191818451,0.309091477,0.196131909,1.679558971,1.566599404,0.75,-0.25,-0.25,0,1,0,0
1986Q2,4.440649254,-5.841618085,0.322365577,52.94772881,-8.52575974,-23.76638466,0.26240142,0.180459593,0.275884866,0.193943039,1.645880828,1.563939001,-0.25,0.75,-0.25,0,0,0,0
1986Q3,4.336636932,-9.888122974,0.309818598,56.45585178,-1.40688537,-26.03036581,0.384831978,0.334437715,0.420561977,0.370167714,1.81427312,1.763878857,-0.25,-0.25,0.75,0,0,0,0
1986Q4,4.481607983,-9.909427492,0.300071221,47.51721117,-3.880335461,-24.2343866,0.299191475,0.256915368,0.334662806,0.292386699,1.720701079,1.678424973,-0.25,-0.25,-0.25,0,0,0,0
1987Q1,4.524285457,-7.101533707,0.310485904,50.24434629,-2.636891168,-20.87688322,0.272119369,0.2775699,0.31945637,0.324906901,1.709114904,1.714565436,0.75,-0.25,-0.25,0,0,0,0
1987Q2,4.55103074,-6.528222519,0.291306991,47.13374668,-10.55093003,-20.11112245,0.304401464,0.319376424,0.400338219,0.41531318,1.796453876,1.811428837,-0.25,0.75,-0.25,0,0,0,0
1987Q3,4.563931438,-5.749547951,0.278746802,45.82854762,-1.308470148,-19.29764014,0.349201957,0.347609555,0.434015594,0.432423191,1.825795896,1.824203493,-0.25,-0.25,0.75,0,0,0,0
1987Q4,4.562958337,-4.74304838,0.271152567,48.82536058,-5.280222325,-20.17579183,0.329479818,0.379531761,0.418905787,0.46895773,1.797782722,1.847834665,-0.25,-0.25,-0.25,0,0,0,0
1988Q1,4.543649329,-1.951117263,0.27588384,49.02328194,-4.427652405,-19.86985271,0.253412204,0.317927416,0.309256503,0.373771716,1.680764612,1.745279825,0.75,-0.25,-0.25,0,0,0,0
1988Q2,4.505570821,-1.289450012,0.268714717,49.24023738,-7.240579286,-23.77395226,0.312158347,0.36942922,0.357626436,0.414897309,1.735503101,1.792773974,-0.25,0.75,-0.25,0,0,0,0
1988Q3,4.495392522,-1.203331942,0.263494243,51.29987824,0.260254492,-26.56317403,0.302005202,0.304549506,0.325344625,0.32788893,1.698428446,1.700972751,-0.25,-0.25,0.75,0,0,0,0
1988Q4,4.49438759,0.195969587,0.258069714,50.49981139,-1.34540425,-27.30917719,0.275553001,0.316238704,0.291622586,0.332308289,1.647647039,1.688332742,-0.25,-0.25,-0.25,0,0,0,0
1989Q1,4.525549611,-0.502883923,0.250732783,47.90171999,-4.222942784,-25.45789627,0.219062501,0.237567653,0.219051788,0.23755694,1.558570741,1.577075893,0.75,-0.25,-0.25,0,0,0,0
1989Q2,4.516958088,-0.735310233,0.249114554,49.74162832,-7.412099843,-24.95249857,0.199115677,0.172916025,0.189260346,0.163060694,1.530421019,1.504221367,-0.25,0.75,-0.25,0,0,0,0
1989Q3,4.520156812,-1.555133021,0.237741188,47.19972669,2.414765007,-25.27596612,0.183366113,0.151878096,0.1719667,0.140478683,1.51317763,1.481689613,-0.25,-0.25,0.75,0,0,0,0
1989Q4,4.558986622,-2.03661829,0.218979818,45.18101594,-0.202184505,-23.15804677,0.23322851,0.224311743,0.242254449,0.233337682,1.596337589,1.587420822,-0.25,-0.25,-0.25,0,0,0,0
1990Q1,4.588668106,-3.956227319,0.20080942,44.56164006,1.509286242,-20.15577632,0.202288231,0.212852135,0.211774712,0.222338615,1.561644132,1.572208036,0.75,-0.25,-0.25,0,0,0,0
1990Q2,4.576359104,-2.500892957,0.187204195,41.97347719,-6.153846154,-18.61746739,0.109246348,0.123612999,0.089272773,0.103639424,1.422905205,1.437271856,-0.25,0.75,-0.25,0,0,0,0
1990Q3,4.565458686,-1.759801793,0.176431115,42.93528547,-1.728079247,-16.66886122,0.124863173,0.174570071,0.11973723,0.169444127,1.457514006,1.507220904,-0.25,-0.25,0.75,0,0,0,0
1990Q4,4.587481323,-2.230160413,0.168380815,42.80270604,-7.699763838,-15.70174,0.033514066,0.116458328,0.02221004,0.105154302,1.360907929,1.443852191,-0.25,-0.25,-0.25,0,0,0,0
1991Q1,4.611317917,-3.763124563,0.153909479,39.74204117,-2.765073892,-14.24800342,0.030333665,0.098275739,0.021563849,0.089505923,1.359342502,1.427284576,0.75,-0.25,-0.25,0,0,0,0
1991Q2,4.618514092,-4.590368569,0.140433496,40.75615848,-7.807679122,-14.6927941,0.09581877,0.07796582,0.089019754,0.071166804,1.427487608,1.409634659,-0.25,0.75,-0.25,0,0,0,0
1991Q3,4.627909673,-4.229883657,0.137788408,40.66762945,-2.219721737,-15.53972861,0.063333669,0.03348129,0.051598716,0.021746337,1.387461731,1.357609352,-0.25,-0.25,0.75,0,0,0,0
1991Q4,4.64346098,-4.135106504,0.128505486,39.05241311,-4.084347158,-14.24762252,0.058436128,0.068448172,0.054554045,0.064566089,1.394630104,1.404642148,-0.25,-0.25,-0.25,0,0,0,0
1992Q1,4.637960009,-2.65641049,0.104975772,38.17124187,-2.667858759,-13.95291486,0.014389955,0.020427642,0.000218228,0.006255915,1.340194076,1.346231762,0.75,-0.25,-0.25,0,0,0,0
1992Q2,4.64851699,-2.181232661,0.097927583,38.42980625,-8.563997771,-14.52287246,-0.013124148,-0.008886471,-0.034114617,-0.029876941,1.301745709,1.305983386,-0.25,0.75,-0.25,0,0,0,0
1992Q3,4.645800162,-3.216449389,0.079505143,39.62280685,-11.85327601,-13.50778442,-0.062541299,-0.008380193,-0.079380615,-0.025219509,1.252365244,1.30652635,-0.25,-0.25,0.75,0,0,0,0
1992Q4,4.657952371,-0.544436957,0.063672846,37.82570076,-5.220068611,-14.94860696,-0.033039071,-0.049453689,-0.037614677,-0.054029295,1.297994038,1.28157942,-0.25,-0.25,-0.25,0,0,0,0
1993Q1,4.661392977,1.785544997,0.072072287,38.73359423,-7.975940304,-15.09962857,-0.030484847,-0.09460884,-0.019675557,-0.08379955,1.320750524,1.256626531,0.75,-0.25,-0.25,0,0,0,0
1993Q2,4.632590782,0.820990242,0.078686287,39.59194011,-8.356171912,-14.25235423,0.036805744,-0.02131736,0.073277759,0.015154654,1.43400976,1.375886655,-0.25,0.75,-0.25,0,0,0,0
1993Q3,4.615186521,1.60591493,0.083160003,38.89396982,-5.795329727,-15.87370498,0.040060495,-0.045790285,0.073095907,-0.012754873,1.430071563,1.344220783,-0.25,-0.25,0.75,0,0,0,0
1993Q4,4.63459953,0.745563104,0.080839057,39.84392227,-4.737459536,-17.09547666,0.06076395,-0.034225839,0.098663172,0.003673383,1.465395325,1.370405536,-0.25,-0.25,-0.25,0,0,0,0
1994Q1,4.65728814,-0.188564247,0.063621857,39.72189935,-15.80524345,-17.83397462,0.060253924,-0.041373288,0.099527158,-0.002100054,1.465650233,1.364023021,0.75,-0.25,-0.25,0,0,1,0
1994Q2,4.605170186,2.464659054,0.065571051,39.43536828,-9.197059489,-19.46064654,0.050959616,-0.032454683,0.086661138,0.003246839,1.446920027,1.363505729,-0.25,0.75,-0.25,0,0,0,0
1994Q3,4.602934355,2.168717402,0.064315219,43.16064262,-4.258127171,-22.64245483,0.047045417,-0.008475155,0.077630649,0.022110078,1.433353753,1.377833182,-0.25,-0.25,0.75,0,0,0,0
1994Q4,4.616077155,2.224248268,0.068990153,42.15038768,-3.352601614,-23.02366138,0.017808962,-0.02617814,0.040250695,-0.003736407,1.387149252,1.34316215,-0.25,-0.25,-0.25,0,0,0,0
1995Q1,4.609328196,2.049013339,0.065018046,44.20334921,-3.390675073,-22.87360839,0.007715221,-0.007286635,0.014345956,-0.0006559,1.355786338,1.340784483,0.75,-0.25,-0.25,0,0,0,0
1995Q2,4.572199236,1.983692088,0.060025485,43.22780378,-8.287325397,-22.38125372,-0.01412349,0.002311902,-0.012333024,0.004102368,1.331411994,1.347847386,-0.25,0.75,-0.25,0,0,0,0
1995Q3,4.609925528,4.127491111,0.056678864,46.4522587,-4.578613454,-19.99353527,0.000970526,0.000605532,-0.007565664,-0.007930658,1.333119883,1.33275489,-0.25,-0.25,0.75,0,0,0,0
1995Q4,4.628300603,4.159932013,0.051892158,45.03467941,-0.989985804,-16.11537405,0.005345994,0.003912926,0.005798835,0.004365767,1.350217332,1.348784264,-0.25,-0.25,-0.25,0,0,0,0
1996Q1,4.625234217,3.780938576,0.060279814,45.29983573,-6.175244715,-10.33626827,0.027520432,-0.001979779,0.033955066,0.004454855,1.382766373,1.353266163,0.75,-0.25,-0.25,0,0,0,0
1996Q2,4.524755187,5.600859774,0.064322059,45.95094434,-5.719304363,-14.47362332,0.03174991,-0.031918721,0.038191925,-0.025476706,1.386818233,1.323149601,-0.25,0.75,-0.25,0,0,0,0
1996Q3,4.505386682,3.614106605,0.068427821,50.6547478,-5.245666498,-16.78222931,0.018825117,-0.047296591,0.024132772,-0.041988936,1.383443145,1.317321437,-0.25,-0.25,0.75,0,0,0,0
1996Q4,4.497547855,3.310254387,0.066931536,48.92693203,-1.551737788,-21.35622634,-0.008994043,-0.093299233,0.001010443,-0.083294747,1.352336299,1.268031109,-0.25,-0.25,-0.25,0,0,0,0
1997Q1,4.591003646,2.364570181,0.058795128,46.4092392,-6.115099753,-21.05513962,-0.005545912,-0.136124274,0.002342781,-0.128235581,1.34297682,1.212398458,0.75,-0.25,-0.25,0,0,0,0
1997Q2,4.621404362,2.17679124,0.057579708,46.13422998,-6.215433701,-17.37670453,0.01554571,-0.14236733,0.007823867,-0.150089173,1.344668037,1.186754997,-0.25,0.75,-0.25,0,0,0,0
1997Q3,4.611880952,2.877147977,0.049837366,49.61420501,-3.229359498,-18.04926746,-0.007668324,-0.198002997,-0.028878583,-0.219213255,1.306212406,1.115877733,-0.25,-0.25,0.75,0,0,0,0
1997Q4,4.586021345,4.629984844,0.040998396,49.69010054,-1.050602124,-17.16555305,-0.111199036,-0.302486798,-0.140764063,-0.332051826,1.191699307,1.000411545,-0.25,-0.25,-0.25,0,0,0,0
1998Q1,4.597037203,5.088896671,0.030885413,49.16831011,-1.722349093,-15.18640498,-0.097353727,-0.303353278,-0.114036141,-0.320035691,1.224679526,1.018679975,0.75,-0.25,-0.25,0,0,0,0
1998Q2,4.564764771,5.756988048,0.02880637,47.55978121,-6.881002268,-17.93502121,-0.112223809,-0.325897391,-0.117643065,-0.331316647,1.21951001,1.005836428,-0.25,0.75,-0.25,0,0,0,0
1998Q3,4.403869663,6.351463743,0.0214191,53.76456583,-3.01300088,-24.97453911,-0.151611631,-0.363877791,-0.146405104,-0.358671264,1.191010565,0.978744405,-0.25,-0.25,0.75,0,0,0,0
1998Q4,4.459373404,4.572783265,0.016995319,50.58068419,1.031916496,-23.26473387,-0.189920326,-0.36353889,-0.170129391,-0.343747954,1.172451867,0.998833304,-0.25,-0.25,-0.25,0,0,0,0
1999Q1,4.428472784,3.645886073,0.013363016,48.9117198,-1.372257737,-22.70246893,-0.180836933,-0.383953634,-0.166189729,-0.36930643,1.185349264,0.982232562,0.75,-0.25,-0.25,0,0,0,0
1999Q2,4.461145839,4.453639364,0.013071274,46.59764734,-5.610179002,-20.61296399,-0.195808457,-0.452878524,-0.196373971,-0.453444039,1.145025763,0.887955695,-0.25,0.75,-0.25,0,0,0,0
1999Q3,4.469044956,8.318915602,0.008375567,48.09787563,-3.376517141,-17.06007425,-0.222963026,-0.48103336,-0.22750223,-0.485572565,1.103914264,0.845843929,-0.25,-0.25,0.75,0,0,0,0
1999Q4,4.462261632,8.880407002,0.00700571,50.98684606,2.816948834,-13.05160682,-0.17988837,-0.429433607,-0.17121301,-0.420758246,1.165987423,0.916442186,-0.25,-0.25,-0.25,0,0,0,0
2000Q1,4.468242556,7.763642135,0.001284296,52.98765804,-0.471760235,-10.83563843,-0.124046518,-0.403908633,-0.108186061,-0.388048176,1.22951316,0.949651046,0.75,-0.25,-0.25,0,0,0,0
2000Q2,4.422168398,6.649025461,-0.003679943,52.9266809,-6.141909418,-11.55203276,-0.25075329,-0.417917632,-0.247173711,-0.414338054,1.090544115,0.923379773,-0.25,0.75,-0.25,0,0,0,0
2000Q3,4.426003647,4.482065648,0.000393677,53.39507642,-2.859151577,-10.57236342,-0.27131188,-0.440324818,-0.280931959,-0.449944897,1.049865569,0.880852631,-0.25,-0.25,0.75,0,0,0,0
2000Q4,4.382443215,3.938037989,0.002012117,58.2634033,1.903953759,-10.77841453,-0.271675022,-0.437682173,-0.296942482,-0.462949632,1.033791455,0.867784305,-0.25,-0.25,-0.25,0,0,0,0
2001Q1,4.345060046,2.691264478,-0.002170126,57.4064683,-1.326537943,-11.61565825,-0.287691362,-0.455752483,-0.343235922,-0.511297044,0.984266047,0.816204925,0.75,-0.25,-0.25,0,0,0,0
2001Q2,4.351180755,3.340681643,6.08E-05,59.3155032,-4.143110909,-8.070912623,-0.275949845,-0.445833633,-0.33616394,-0.506047728,0.995638754,0.825754966,-0.25,0.75,-0.25,0,0,0,0
2001Q3,4.284275979,3.609358126,0.000864196,56.23922718,-2.637881834,-5.217559869,-0.282420615,-0.445913142,-0.327758106,-0.491250633,1.011888402,0.848395875,-0.25,-0.25,0.75,0,0,0,0
2001Q4,4.102533166,3.732284868,0.004412988,59.27402395,3.771529327,-5.327947535,-0.305132527,-0.459134236,-0.329164336,-0.483166046,1.012709003,0.858707294,-0.25,-0.25,-0.25,0,0,0,0
2002Q1,4.035832291,2.905043566,0.003039486,66.30471695,-0.810440835,-3.204577918,-0.250225735,-0.420230502,-0.263969335,-0.433974102,1.080237954,0.910233186,0.75,-0.25,-0.25,0,0,0,0
